"time","datetime","location","element","solar(W/m2)"
1648155600000,2022-03-27T00:00:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T00:30:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T01:00:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T01:30:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T02:00:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T02:30:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T03:00:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T03:30:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T04:00:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T04:30:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T05:00:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T05:30:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T06:00:00+09:00,yaoko00006,solar,394.06
1648155600000,2022-03-27T06:30:00+09:00,yaoko00006,solar,1047.27
1648155600000,2022-03-27T07:00:00+09:00,yaoko00006,solar,1776.46
1648155600000,2022-03-27T07:30:00+09:00,yaoko00006,solar,2527.91
1648155600000,2022-03-27T08:00:00+09:00,yaoko00006,solar,3303.55
1648155600000,2022-03-27T08:30:00+09:00,yaoko00006,solar,4297.07
1648155600000,2022-03-27T09:00:00+09:00,yaoko00006,solar,5335.44
1648155600000,2022-03-27T09:30:00+09:00,yaoko00006,solar,6540.44
1648155600000,2022-03-27T10:00:00+09:00,yaoko00006,solar,7749.82
1648155600000,2022-03-27T10:30:00+09:00,yaoko00006,solar,8667.38
1648155600000,2022-03-27T11:00:00+09:00,yaoko00006,solar,9485.09
1648155600000,2022-03-27T11:30:00+09:00,yaoko00006,solar,9403.38
1648155600000,2022-03-27T12:00:00+09:00,yaoko00006,solar,9165.15
1648155600000,2022-03-27T12:30:00+09:00,yaoko00006,solar,8657.55
1648155600000,2022-03-27T13:00:00+09:00,yaoko00006,solar,8028.16
1648155600000,2022-03-27T13:30:00+09:00,yaoko00006,solar,7134.85
1648155600000,2022-03-27T14:00:00+09:00,yaoko00006,solar,6184.61
1648155600000,2022-03-27T14:30:00+09:00,yaoko00006,solar,5255.43
1648155600000,2022-03-27T15:00:00+09:00,yaoko00006,solar,4311.27
1648155600000,2022-03-27T15:30:00+09:00,yaoko00006,solar,3685.82
1648155600000,2022-03-27T16:00:00+09:00,yaoko00006,solar,2999.35
1648155600000,2022-03-27T16:30:00+09:00,yaoko00006,solar,2283.58
1648155600000,2022-03-27T17:00:00+09:00,yaoko00006,solar,1517.47
1648155600000,2022-03-27T17:30:00+09:00,yaoko00006,solar,742.36
1648155600000,2022-03-27T18:00:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T18:30:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T19:00:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T19:30:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T20:00:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T20:30:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T21:00:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T21:30:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T22:00:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T22:30:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T23:00:00+09:00,yaoko00006,solar,0
1648155600000,2022-03-27T23:30:00+09:00,yaoko00006,solar,0
1648242000000,2022-03-28T00:00:00+09:00,yaoko00006,solar,0
1648242000000,2022-03-28T00:30:00+09:00,yaoko00006,solar,0
1648242000000,2022-03-28T01:00:00+09:00,yaoko00006,solar,0
1648242000000,2022-03-28T01:30:00+09:00,yaoko00006,solar,0
1648242000000,2022-03-28T02:00:00+09:00,yaoko00006,solar,0
1648242000000,2022-03-28T02:30:00+09:00,yaoko00006,solar,0
1648242000000,2022-03-28T03:00:00+09:00,yaoko00006,solar,0
1648242000000,2022-03-28T03:30:00+09:00,yaoko00006,solar,0
1648242000000,2022-03-28T04:00:00+09:00,yaoko00006,solar,0
1648242000000,2022-03-28T04:30:00+09:00,yaoko00006,solar,0
1648242000000,2022-03-28T05:00:00+09:00,yaoko00006,solar,0
1648242000000,2022-03-28T05:30:00+09:00,yaoko00006,solar,0
1648242000000,2022-03-28T06:00:00+09:00,yaoko00006,solar,626.71
1648242000000,2022-03-28T06:30:00+09:00,yaoko00006,solar,1765.2
1648242000000,2022-03-28T07:00:00+09:00,yaoko00006,solar,3175.41
1648242000000,2022-03-28T07:30:00+09:00,yaoko00006,solar,4283.29
1648242000000,2022-03-28T08:00:00+09:00,yaoko00006,solar,5325.33
1648242000000,2022-03-28T08:30:00+09:00,yaoko00006,solar,6328.15
1648242000000,2022-03-28T09:00:00+09:00,yaoko00006,solar,7242.8
1648242000000,2022-03-28T09:30:00+09:00,yaoko00006,solar,7915.56
1648242000000,2022-03-28T10:00:00+09:00,yaoko00006,solar,8446.08
1648242000000,2022-03-28T10:30:00+09:00,yaoko00006,solar,8890.61
1648242000000,2022-03-28T11:00:00+09:00,yaoko00006,solar,9187.02
1648242000000,2022-03-28T11:30:00+09:00,yaoko00006,solar,9242.39
1648242000000,2022-03-28T12:00:00+09:00,yaoko00006,solar,9143.37
1648242000000,2022-03-28T12:30:00+09:00,yaoko00006,solar,8794.22
1648242000000,2022-03-28T13:00:00+09:00,yaoko00006,solar,8310.28
1648242000000,2022-03-28T13:30:00+09:00,yaoko00006,solar,7836.21
1648242000000,2022-03-28T14:00:00+09:00,yaoko00006,solar,7241.51
1648242000000,2022-03-28T14:30:00+09:00,yaoko00006,solar,6505.81
1648242000000,2022-03-28T15:00:00+09:00,yaoko00006,solar,5683.07
