"time","datetime","location","element","solar(W/m2)"
1648155600000,2022-03-27T00:00:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T00:30:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T01:00:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T01:30:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T02:00:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T02:30:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T03:00:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T03:30:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T04:00:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T04:30:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T05:00:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T05:30:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T06:00:00+09:00,valor00002,solar,256.84
1648155600000,2022-03-27T06:30:00+09:00,valor00002,solar,985.93
1648155600000,2022-03-27T07:00:00+09:00,valor00002,solar,1522.98
1648155600000,2022-03-27T07:30:00+09:00,valor00002,solar,2125.99
1648155600000,2022-03-27T08:00:00+09:00,valor00002,solar,2670.84
1648155600000,2022-03-27T08:30:00+09:00,valor00002,solar,3882.26
1648155600000,2022-03-27T09:00:00+09:00,valor00002,solar,5308.71
1648155600000,2022-03-27T09:30:00+09:00,valor00002,solar,6977.44
1648155600000,2022-03-27T10:00:00+09:00,valor00002,solar,8575.01
1648155600000,2022-03-27T10:30:00+09:00,valor00002,solar,9118.89
1648155600000,2022-03-27T11:00:00+09:00,valor00002,solar,9512.17
1648155600000,2022-03-27T11:30:00+09:00,valor00002,solar,9748.11
1648155600000,2022-03-27T12:00:00+09:00,valor00002,solar,9822.69
1648155600000,2022-03-27T12:30:00+09:00,valor00002,solar,9734.62
1648155600000,2022-03-27T13:00:00+09:00,valor00002,solar,9485.41
1648155600000,2022-03-27T13:30:00+09:00,valor00002,solar,9079.32
1648155600000,2022-03-27T14:00:00+09:00,valor00002,solar,8523.31
1648155600000,2022-03-27T14:30:00+09:00,valor00002,solar,7826.89
1648155600000,2022-03-27T15:00:00+09:00,valor00002,solar,7001.97
1648155600000,2022-03-27T15:30:00+09:00,valor00002,solar,6062.66
1648155600000,2022-03-27T16:00:00+09:00,valor00002,solar,5025.05
1648155600000,2022-03-27T16:30:00+09:00,valor00002,solar,3906.88
1648155600000,2022-03-27T17:00:00+09:00,valor00002,solar,2727.28
1648155600000,2022-03-27T17:30:00+09:00,valor00002,solar,1436.41
1648155600000,2022-03-27T18:00:00+09:00,valor00002,solar,235.84
1648155600000,2022-03-27T18:30:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T19:00:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T19:30:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T20:00:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T20:30:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T21:00:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T21:30:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T22:00:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T22:30:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T23:00:00+09:00,valor00002,solar,0
1648155600000,2022-03-27T23:30:00+09:00,valor00002,solar,0
1648242000000,2022-03-28T00:00:00+09:00,valor00002,solar,0
